"year","Measure Names","Measure Values"
1936,"category",4
1936,"winner",4
1937,"category",4
1937,"winner",4
1938,"category",4
1938,"winner",4
1939,"category",4
1939,"winner",4
1940,"category",4
1940,"winner",4
1941,"category",4
1941,"winner",4
1942,"category",4
1942,"winner",4
1943,"category",4
1943,"winner",4
1944,"category",4
1944,"winner",4
1945,"category",4
1945,"winner",4
1946,"category",4
1946,"winner",4
1947,"category",4
1947,"winner",4
1948,"category",4
1948,"winner",4
1949,"category",4
1949,"winner",4
1950,"category",4
1950,"winner",4
1951,"category",4
1951,"winner",4
1952,"category",4
1952,"winner",4
1953,"category",4
1953,"winner",4
1954,"category",4
1954,"winner",4
1955,"category",4
1955,"winner",4
1956,"category",4
1956,"winner",4
1957,"category",4
1957,"winner",4
1958,"category",4
1958,"winner",4
1959,"category",4
1959,"winner",4
1960,"category",4
1960,"winner",4
1961,"category",4
1961,"winner",4
1962,"category",4
1962,"winner",4
1963,"category",4
1963,"winner",4
1964,"category",4
1964,"winner",4
1965,"category",4
1965,"winner",4
1966,"category",4
1966,"winner",4
1967,"category",4
1967,"winner",4
1968,"category",5
1968,"winner",5
1969,"category",4
1969,"winner",4
1970,"category",4
1970,"winner",4
1971,"category",4
1971,"winner",4
1972,"category",4
1972,"winner",4
1973,"category",4
1973,"winner",4
1974,"category",4
1974,"winner",4
1975,"category",4
1975,"winner",4
1976,"category",4
1976,"winner",4
1977,"category",4
1977,"winner",4
1978,"category",4
1978,"winner",4
1979,"category",4
1979,"winner",4
1980,"category",4
1980,"winner",4
1981,"category",4
1981,"winner",4
1982,"category",4
1982,"winner",4
1983,"category",4
1983,"winner",4
1984,"category",4
1984,"winner",4
1985,"category",4
1985,"winner",4
1986,"category",4
1986,"winner",4
1987,"category",4
1987,"winner",4
1988,"category",4
1988,"winner",4
1989,"category",4
1989,"winner",4
1990,"category",4
1990,"winner",4
1991,"category",4
1991,"winner",4
1992,"category",4
1992,"winner",4
1993,"category",4
1993,"winner",4
1994,"category",4
1994,"winner",4
1995,"category",4
1995,"winner",4
1996,"category",4
1996,"winner",4
1997,"category",4
1997,"winner",4
1998,"category",4
1998,"winner",4
1999,"category",4
1999,"winner",4
2000,"category",4
2000,"winner",4
2001,"category",4
2001,"winner",4
2002,"category",4
2002,"winner",4
2003,"category",4
2003,"winner",4
2004,"category",4
2004,"winner",4
2005,"category",4
2005,"winner",4
2006,"category",4
2006,"winner",4
2007,"category",4
2007,"winner",4
2008,"category",4
2008,"winner",4
2009,"category",4
2009,"winner",4
2010,"category",4
2010,"winner",4
2011,"category",4
2011,"winner",4
2012,"category",4
2012,"winner",4
