"year","category","actor","movie","winner","id"
2012.0,"actress in a leading role","Jennifer Lawrence","Silver Linings Playbook",1.0,718
2012.0,"actress in a supporting role","Anne Hathaway","Les Mis�rables",1.0,78
2012.0,"actor in a supporting role","Christoph Waltz","Django Unchained",1.0,248
2012.0,"actor in a leading role","Daniel Day-Lewis","Lincoln",1.0,288
2011.0,"actor in a supporting role","Christopher Plummer","Beginners",1.0,250
2011.0,"actress in a leading role","Meryl Streep","The Iron Lady",1.0,1066
2011.0,"actor in a leading role","Jean Dujardin","The Artist",1.0,697
2011.0,"actress in a supporting role","Octavia Spencer","The Help",1.0,1142
2010.0,"actor in a supporting role","Christian Bale","The Fighter",1.0,245
2010.0,"actress in a leading role","Natalie Portman","Black Swan",1.0,1122
2010.0,"actress in a supporting role","Melissa Leo","The Fighter",1.0,1042
2010.0,"actor in a leading role","Colin Firth","The King's Speech",1.0,273
2009.0,"actress in a supporting role","Mo'Nique","Precious: Based on the Novel 'Push' by Sapphire",1.0,1105
2009.0,"actress in a leading role","Sandra Bullock","The Blind Side",1.0,1336
2009.0,"actor in a leading role","Jeff Bridges","Crazy Heart",1.0,707
2009.0,"actor in a supporting role","Christoph Waltz","Inglourious Basterds",1.0,247
2008.0,"actor in a supporting role","Heath Ledger","The Dark Knight",1.0,551
2008.0,"actress in a supporting role","Pen�lope Cruz","Vicky Cristina Barcelona",1.0,1184
2008.0,"actress in a leading role","Kate Winslet","The Reader",1.0,855
2008.0,"actor in a leading role","Sean Penn","Milk",1.0,1346
2007.0,"actress in a leading role","Marion Cotillard","La Vie en Rose",1.0,986
2007.0,"actor in a supporting role","Javier Bardem","No Country for Old Men",1.0,693
2007.0,"actress in a supporting role","Tilda Swinton","Michael Clayton",1.0,1442
2007.0,"actor in a leading role","Daniel Day-Lewis","There Will Be Blood",1.0,287
2006.0,"actress in a supporting role","Jennifer Hudson","Dreamgirls",1.0,711
2006.0,"actress in a leading role","Helen Mirren","The Queen",1.0,557
2006.0,"actor in a supporting role","Alan Arkin","Little Miss Sunshine",1.0,22
2006.0,"actor in a leading role","Forest Whitaker","The Last King of Scotland",1.0,426
2005.0,"actress in a leading role","Reese Witherspoon","Walk the Line",1.0,1229
2005.0,"actor in a leading role","Philip Seymour Hoffman","Capote",1.0,1207
2005.0,"actor in a supporting role","George Clooney","Syriana",1.0,476
2005.0,"actress in a supporting role","Rachel Weisz","The Constant Gardener",1.0,1219
2004.0,"actor in a leading role","Jamie Foxx","Ray",1.0,664
2004.0,"actress in a supporting role","Cate Blanchett","The Aviator",1.0,204
2004.0,"actor in a supporting role","Morgan Freeman","Million Dollar Baby",1.0,1115
2004.0,"actress in a leading role","Hilary Swank","Million Dollar Baby",1.0,566
2003.0,"actress in a leading role","Charlize Theron","Monster",1.0,234
2003.0,"actress in a supporting role","Ren�e Zellweger","Cold Mountain",1.0,1232
2003.0,"actor in a leading role","Sean Penn","Mystic River",1.0,1345
2003.0,"actor in a supporting role","Tim Robbins","Mystic River",1.0,1443
2002.0,"actor in a leading role","Adrien Brody","The Pianist",1.0,4
2002.0,"actor in a supporting role","Chris Cooper","Adaptation",1.0,243
2002.0,"actress in a supporting role","Catherine Zeta-Jones","Chicago",1.0,212
2002.0,"actress in a leading role","Nicole Kidman","The Hours",1.0,1134
2001.0,"actor in a leading role","Denzel Washington","Training Day",1.0,313
2001.0,"actor in a supporting role","Jim Broadbent","Iris",1.0,736
2001.0,"actress in a supporting role","Jennifer Connelly","A Beautiful Mind",1.0,710
2001.0,"actress in a leading role","Halle Berry","Monster's Ball",1.0,544
2000.0,"actress in a supporting role","Marcia Gay Harden","Pollock",1.0,973
2000.0,"actor in a supporting role","Benicio Del Toro","Traffic",1.0,138
2000.0,"actor in a leading role","Russell Crowe","Gladiator",1.0,1314
2000.0,"actress in a leading role","Julia Roberts","Erin Brockovich",1.0,826
1999.0,"actress in a supporting role","Angelina Jolie","Girl, Interrupted",1.0,56
